 Results generated by eval_galaxies.f90
                     k                  P(k)
      0.3720480889E-01      0.2167073882E+11
      0.1020294422E+00      0.2604662271E+11
      0.1238836267E+00      0.3459865748E+10
      0.1432947272E+00      0.1156229894E+11
      0.1578971930E+00      0.9245369336E+10
      0.1739877248E+00      0.1141260947E+11
      0.2012495454E+00      0.7224776174E+10
      0.2112550054E+00      0.4920671409E+10
      0.2217579036E+00      0.1399406788E+11
      0.2327829712E+00      0.7889309413E+10
      0.2443561685E+00      0.7090049320E+10
      0.2565047468E+00      0.6268571591E+10
      0.2692573122E+00      0.5249234735E+10
      0.2826438928E+00      0.7032595134E+10
      0.2966960098E+00      0.6121712592E+10
      0.3114467514E+00      0.4366174092E+10
      0.3269308510E+00      0.3696871036E+10
      0.3431847687E+00      0.3638784237E+10
      0.3602467773E+00      0.4630867030E+10
      0.3781570523E+00      0.3763355439E+10
      0.3969577668E+00      0.6172049843E+10
      0.4166931905E+00      0.3372726661E+10
      0.4374097941E+00      0.3189093754E+10
      0.4591563584E+00      0.2542192302E+10
      0.4819840898E+00      0.3077511068E+10
      0.5059467403E+00      0.2952327252E+10
      0.5311007343E+00      0.2630505720E+10
      0.5575053015E+00      0.2316185681E+10
      0.5852226162E+00      0.2350899527E+10
      0.6143179439E+00      0.2262025193E+10
      0.6448597947E+00      0.2229859149E+10
      0.6769200851E+00      0.2250356207E+10
      0.7105743068E+00      0.1995570029E+10
      0.7459017048E+00      0.1977070047E+10
      0.7829854639E+00      0.1774077421E+10
      0.8219129045E+00      0.1787517322E+10
      0.8627756884E+00      0.1651735153E+10
      0.9056700343E+00      0.1532849484E+10
      0.9506969448E+00      0.1540308375E+10
      0.9979624441E+00      0.1313610172E+10
      0.1047577827E+01      0.1322171037E+10
      0.1099659923E+01      0.1237760055E+10
      0.1154331367E+01      0.1260742466E+10
      0.1211720894E+01      0.1140035650E+10
      0.1271963639E+01      0.1142178982E+10
      0.1335201453E+01      0.1092263100E+10
      0.1401583241E+01      0.1027547108E+10
      0.1471265311E+01      0.1024718705E+10
      0.1544411743E+01      0.1003995896E+10
      0.1621194773E+01      0.9471214358E+09
      0.1701795201E+01      0.8965153240E+09
      0.1786402815E+01      0.8696692302E+09
      0.1875216838E+01      0.8398920172E+09
      0.1968446400E+01      0.8095444198E+09
      0.2066311027E+01      0.7774550618E+09
      0.2169041159E+01      0.7454412940E+09
      0.2276878692E+01      0.7233640798E+09
      0.2390077550E+01      0.6941371320E+09
      0.2508904279E+01      0.6772020340E+09
      0.2633638679E+01      0.6367352757E+09
      0.2764574460E+01      0.6172851532E+09
      0.2902019934E+01      0.6026213726E+09
      0.3046298741E+01      0.5900255064E+09
      0.3197750612E+01      0.5748537666E+09
      0.3356732167E+01      0.5546090613E+09
      0.3523617758E+01      0.5409583995E+09
      0.3698800348E+01      0.5209004532E+09
      0.3882692434E+01      0.5053883310E+09
      0.4075727026E+01      0.4906436268E+09
      0.4278358657E+01      0.4821975194E+09
      0.4491064460E+01      0.4680315873E+09
      0.4714345291E+01      0.4564267785E+09
      0.4948726905E+01      0.4424665299E+09
      0.5194761195E+01      0.4299156079E+09
      0.5453027493E+01      0.4211608054E+09
      0.5724133936E+01      0.4136967210E+09
      0.6008718892E+01      0.4041031367E+09
      0.6307452468E+01      0.3955003482E+09
      0.6621038087E+01      0.3842337872E+09
      0.6950214143E+01      0.3756295062E+09
      0.7295755740E+01      0.3670346284E+09
      0.7658476520E+01      0.3578387909E+09
      0.8039230574E+01      0.3520599225E+09
      0.8438914458E+01      0.3500214820E+09
      0.8858469298E+01      0.3452574076E+09
