 Results generated by eval_galaxies.f90
                     k                  P(k)
      0.3720480889E-01      0.1602678746E+11
      0.1020294422E+00      0.2163984023E+11
      0.1238836267E+00      0.3141587157E+10
      0.1432947272E+00      0.8934116761E+10
      0.1578971930E+00      0.6178717864E+10
      0.1739877248E+00      0.8056412856E+10
      0.2012495454E+00      0.5653337963E+10
      0.2112550054E+00      0.3891973625E+10
      0.2217579036E+00      0.9338052591E+10
      0.2327829712E+00      0.5233612312E+10
      0.2443561685E+00      0.4144800529E+10
      0.2565047468E+00      0.3137767751E+10
      0.2692573122E+00      0.3487477859E+10
      0.2826438928E+00      0.4477287873E+10
      0.2966960098E+00      0.3956867644E+10
      0.3114467514E+00      0.3101879382E+10
      0.3269308510E+00      0.2382948129E+10
      0.3431847687E+00      0.2890313603E+10
      0.3602467773E+00      0.3085421127E+10
      0.3781570523E+00      0.2160500704E+10
      0.3969577668E+00      0.3906124975E+10
      0.4166931905E+00      0.2137226448E+10
      0.4374097941E+00      0.2168738252E+10
      0.4591563584E+00      0.1500994361E+10
      0.4819840898E+00      0.1871187139E+10
      0.5059467403E+00      0.1830472945E+10
      0.5311007343E+00      0.1586036629E+10
      0.5575053015E+00      0.1489167298E+10
      0.5852226162E+00      0.1519376967E+10
      0.6143179439E+00      0.1299104633E+10
      0.6448597947E+00      0.1364952571E+10
      0.6769200851E+00      0.1314570539E+10
      0.7105743068E+00      0.1114266451E+10
      0.7459017048E+00      0.1125973082E+10
      0.7829854639E+00      0.1048845315E+10
      0.8219129045E+00      0.9828628163E+09
      0.8627756884E+00      0.9477745203E+09
      0.9056700343E+00      0.8902899920E+09
      0.9506969448E+00      0.9182975868E+09
      0.9979624441E+00      0.7510657381E+09
      0.1047577827E+01      0.7469336970E+09
      0.1099659923E+01      0.7466572042E+09
      0.1154331367E+01      0.7350013912E+09
      0.1211720894E+01      0.6500772018E+09
      0.1271963639E+01      0.6714515485E+09
      0.1335201453E+01      0.6360035598E+09
      0.1401583241E+01      0.6030564210E+09
      0.1471265311E+01      0.6131387630E+09
      0.1544411743E+01      0.6050691226E+09
      0.1621194773E+01      0.5737546567E+09
      0.1701795201E+01      0.5683727711E+09
      0.1786402815E+01      0.5414957393E+09
      0.1875216838E+01      0.5371539906E+09
      0.1968446400E+01      0.5281737569E+09
      0.2066311027E+01      0.5143167946E+09
      0.2169041159E+01      0.5116702983E+09
      0.2276878692E+01      0.5095218730E+09
      0.2390077550E+01      0.4920958922E+09
      0.2508904279E+01      0.4923751950E+09
      0.2633638679E+01      0.4776460713E+09
      0.2764574460E+01      0.4723719058E+09
      0.2902019934E+01      0.4657985862E+09
      0.3046298741E+01      0.4632863824E+09
      0.3197750612E+01      0.4631042798E+09
      0.3356732167E+01      0.4540906903E+09
      0.3523617758E+01      0.4537581615E+09
      0.3698800348E+01      0.4401502431E+09
      0.3882692434E+01      0.4389654216E+09
      0.4075727026E+01      0.4330828112E+09
      0.4278358657E+01      0.4331132616E+09
      0.4491064460E+01      0.4315627720E+09
      0.4714345291E+01      0.4295667119E+09
      0.4948726905E+01      0.4270993626E+09
      0.5194761195E+01      0.4218906638E+09
      0.5453027493E+01      0.4204474071E+09
      0.5724133936E+01      0.4191234004E+09
      0.6008718892E+01      0.4136395685E+09
      0.6307452468E+01      0.4115652720E+09
      0.6621038087E+01      0.4108948910E+09
      0.6950214143E+01      0.4100221788E+09
      0.7295755740E+01      0.4069333242E+09
      0.7658476520E+01      0.4043481155E+09
      0.8039230574E+01      0.4052803706E+09
      0.8438914458E+01      0.4077762482E+09
      0.8858469298E+01      0.4058643603E+09
