 Results generated by eval_galaxies.f90
                     r        correlation(r)
      0.2215965094E+00      0.7182810704E+08
      0.6647895283E+00      0.5554970936E+07
      0.1107982547E+01      0.2034528337E+07
      0.1551175566E+01      0.1105675730E+07
      0.1994368585E+01      0.7295699996E+06
      0.2437561604E+01      0.5224852228E+06
      0.2880754623E+01      0.3764080113E+06
      0.3323947642E+01      0.3060276573E+06
      0.3767140660E+01      0.2506600073E+06
      0.4210333679E+01      0.2112594655E+06
      0.4653526698E+01      0.1732255659E+06
      0.5096719717E+01      0.1308281740E+06
      0.5539912736E+01      0.1199270459E+06
      0.5983105755E+01      0.1054981833E+06
      0.6426298774E+01      0.8958000666E+05
      0.6869491793E+01      0.7499609334E+05
      0.7312684811E+01      0.6556375531E+05
      0.7755877830E+01      0.6236280329E+05
      0.8199070849E+01      0.6028840990E+05
      0.8642263868E+01      0.5640986852E+05
      0.9085456887E+01      0.5238300020E+05
      0.9528649906E+01      0.4553013886E+05
      0.9971842925E+01      0.3913422519E+05
      0.1041503594E+02      0.3929030320E+05
      0.1085822896E+02      0.3464217964E+05
      0.1130142198E+02      0.3064469224E+05
      0.1174461500E+02      0.2598533268E+05
      0.1218780802E+02      0.2350660797E+05
      0.1263100104E+02      0.2025543045E+05
      0.1307419406E+02      0.1852815348E+05
      0.1351738708E+02      0.1615150995E+05
      0.1396058009E+02      0.1275532935E+05
      0.1440377311E+02      0.1235419618E+05
      0.1484696613E+02      0.1138527117E+05
      0.1529015915E+02      0.9092127819E+04
      0.1573335217E+02      0.9968466445E+04
      0.1617654519E+02      0.1036717162E+05
      0.1661973821E+02      0.1076669402E+05
      0.1706293123E+02      0.8444121444E+04
      0.1750612425E+02      0.8467996347E+04
      0.1794931726E+02      0.7459107150E+04
      0.1839251028E+02      0.7137412103E+04
      0.1883570330E+02      0.6734358831E+04
      0.1927889632E+02      0.5615687584E+04
      0.1972208934E+02      0.5915027262E+04
      0.2016528236E+02      0.5229794802E+04
      0.2060847538E+02      0.6030217967E+04
      0.2105166840E+02      0.5632371028E+04
      0.2149486142E+02      0.5610590593E+04
      0.2193805443E+02      0.4731658290E+04
      0.2238124745E+02      0.4342718508E+04
      0.2282444047E+02      0.4203460518E+04
      0.2326763349E+02      0.2959696934E+04
      0.2371082651E+02      0.2843674128E+04
      0.2415401953E+02      0.3159741856E+04
      0.2459721255E+02      0.2415545064E+04
      0.2504040557E+02      0.2367974395E+04
      0.2548359859E+02      0.1804059777E+04
      0.2592679160E+02      0.1575756029E+04
      0.2636998462E+02      0.1946855929E+04
      0.2681317764E+02      0.1211094760E+04
      0.2725637066E+02      0.1308658660E+04
      0.2769956368E+02      0.1694819418E+04
      0.2814275670E+02      0.2344006239E+04
      0.2858594972E+02      0.1838546940E+04
      0.2902914274E+02      0.1439633270E+04
      0.2947233576E+02      0.1506520285E+04
      0.2991552877E+02      0.1761613003E+04
      0.3035872179E+02      0.1545411575E+04
      0.3080191481E+02      0.1452364222E+04
      0.3124510783E+02      0.1226098510E+04
      0.3168830085E+02      0.6603201647E+03
      0.3213149387E+02     -0.4893350929E+02
      0.3257468689E+02      0.3803423112E+03
      0.3301787991E+02      0.2333212624E+03
      0.3346107293E+02      0.1032302095E+04
      0.3390426594E+02      0.6766952033E+03
      0.3434745896E+02      0.3922868294E+03
      0.3479065198E+02      0.1376170215E+03
      0.3523384500E+02      0.3822505245E+03
      0.3567703802E+02      0.1369993304E+04
      0.3612023104E+02      0.1810134124E+03
      0.3656342406E+02     -0.3877526912E+03
      0.3700661708E+02     -0.2399251591E+03
      0.3744981010E+02     -0.6891798716E+03
      0.3789300311E+02     -0.5260113337E+02
      0.3833619613E+02     -0.5158027782E+03
      0.3877938915E+02      0.1812507694E+03
      0.3922258217E+02     -0.4272784186E+03
      0.3966577519E+02     -0.1146169712E+04
      0.4010896821E+02     -0.1291632726E+04
      0.4055216123E+02     -0.1388939092E+04
      0.4099535425E+02     -0.8645314868E+03
      0.4143854727E+02     -0.1517556555E+04
      0.4188174028E+02     -0.2510923191E+04
      0.4232493330E+02     -0.3066258685E+04
      0.4276812632E+02     -0.2765861499E+04
      0.4321131934E+02     -0.2647172770E+04
      0.4365451236E+02     -0.2687258222E+04
      0.4409770538E+02     -0.3028906922E+04
