 Results generated by eval_galaxies.f90
                     r        correlation(r)
      0.2215965094E+00      0.6329618525E+08
      0.6647895283E+00      0.1942235794E+07
      0.1107982547E+01      0.8935791868E+06
      0.1551175566E+01      0.6062616236E+06
      0.1994368585E+01      0.4318069356E+06
      0.2437561604E+01      0.3507612179E+06
      0.2880754623E+01      0.2758627883E+06
      0.3323947642E+01      0.2073173098E+06
      0.3767140660E+01      0.1840050759E+06
      0.4210333679E+01      0.1471878821E+06
      0.4653526698E+01      0.1290198710E+06
      0.5096719717E+01      0.9590938380E+05
      0.5539912736E+01      0.9428481860E+05
      0.5983105755E+01      0.8244839489E+05
      0.6426298774E+01      0.6870475805E+05
      0.6869491793E+01      0.6004730984E+05
      0.7312684811E+01      0.5133485651E+05
      0.7755877830E+01      0.4938045718E+05
      0.8199070849E+01      0.4877863269E+05
      0.8642263868E+01      0.4183722969E+05
      0.9085456887E+01      0.4022786510E+05
      0.9528649906E+01      0.3579420815E+05
      0.9971842925E+01      0.3099978894E+05
      0.1041503594E+02      0.2863626457E+05
      0.1085822896E+02      0.2649182289E+05
      0.1130142198E+02      0.2407745632E+05
      0.1174461500E+02      0.2276133895E+05
      0.1218780802E+02      0.2067677369E+05
      0.1263100104E+02      0.1860239218E+05
      0.1307419406E+02      0.1812099221E+05
      0.1351738708E+02      0.1530964360E+05
      0.1396058009E+02      0.1294632819E+05
      0.1440377311E+02      0.1307191797E+05
      0.1484696613E+02      0.1294232720E+05
      0.1529015915E+02      0.9416151922E+04
      0.1573335217E+02      0.9986509506E+04
      0.1617654519E+02      0.9883400046E+04
      0.1661973821E+02      0.1047533938E+05
      0.1706293123E+02      0.8164121151E+04
      0.1750612425E+02      0.7828816577E+04
      0.1794931726E+02      0.7105744709E+04
      0.1839251028E+02      0.7302139816E+04
      0.1883570330E+02      0.6311491169E+04
      0.1927889632E+02      0.5146575348E+04
      0.1972208934E+02      0.6146601058E+04
      0.2016528236E+02      0.5861717527E+04
      0.2060847538E+02      0.5171153224E+04
      0.2105166840E+02      0.5605834789E+04
      0.2149486142E+02      0.5353345719E+04
      0.2193805443E+02      0.4461784250E+04
      0.2238124745E+02      0.4614182394E+04
      0.2282444047E+02      0.5415954284E+04
      0.2326763349E+02      0.3796649309E+04
      0.2371082651E+02      0.3543193437E+04
      0.2415401953E+02      0.3480369051E+04
      0.2459721255E+02      0.2468959662E+04
      0.2504040557E+02      0.2383578506E+04
      0.2548359859E+02      0.1989585563E+04
      0.2592679160E+02      0.2163017259E+04
      0.2636998462E+02      0.2216292975E+04
      0.2681317764E+02      0.1346632758E+04
      0.2725637066E+02      0.1587014312E+04
      0.2769956368E+02      0.1365177241E+04
      0.2814275670E+02      0.1609824001E+04
      0.2858594972E+02      0.9621880445E+03
      0.2902914274E+02      0.8307694925E+03
      0.2947233576E+02      0.1192971004E+04
      0.2991552877E+02      0.7862755874E+03
      0.3035872179E+02      0.6692175826E+03
      0.3080191481E+02      0.6078101819E+03
      0.3124510783E+02      0.4394248610E+03
      0.3168830085E+02     -0.1302172191E+03
      0.3213149387E+02     -0.3326020554E+03
      0.3257468689E+02     -0.2159030576E+03
      0.3301787991E+02     -0.4163674410E+03
      0.3346107293E+02      0.3764690042E+03
      0.3390426594E+02      0.3169494016E+03
      0.3434745896E+02      0.2171650934E+03
      0.3479065198E+02      0.1092370291E+03
      0.3523384500E+02     -0.8861879927E+02
      0.3567703802E+02      0.5743003145E+03
      0.3612023104E+02     -0.1029215857E+03
      0.3656342406E+02     -0.4236939875E+03
      0.3700661708E+02     -0.6102971843E+03
      0.3744981010E+02     -0.1150902221E+04
      0.3789300311E+02     -0.4716993789E+03
      0.3833619613E+02     -0.1167608089E+04
      0.3877938915E+02     -0.3907651341E+03
      0.3922258217E+02     -0.7116159021E+03
      0.3966577519E+02     -0.1088981714E+04
      0.4010896821E+02     -0.1297060837E+04
      0.4055216123E+02     -0.1492361778E+04
      0.4099535425E+02     -0.8401862015E+03
      0.4143854727E+02     -0.1139840413E+04
      0.4188174028E+02     -0.1757059611E+04
      0.4232493330E+02     -0.2498845206E+04
      0.4276812632E+02     -0.2224109156E+04
      0.4321131934E+02     -0.2730214532E+04
      0.4365451236E+02     -0.2344219141E+04
      0.4409770538E+02     -0.2786587971E+04
