           Mass binsSMF subhalos+orphans        SMF subhalos   SMF centrals only
            5.537500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            5.612500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            5.687500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            5.762500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            5.837500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            5.912500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            5.987500  0.382912913420E-04  0.000000000000E+00  0.000000000000E+00
            6.062500  0.382912913420E-04  0.000000000000E+00  0.000000000000E+00
            6.137500  0.229747748052E-03  0.000000000000E+00  0.000000000000E+00
            6.212500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            6.287500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            6.362500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            6.437500  0.382912913420E-04  0.000000000000E+00  0.000000000000E+00
            6.512500  0.114873874026E-03  0.191456456710E-04  0.000000000000E+00
            6.587500  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
            6.662500  0.382912913420E-04  0.000000000000E+00  0.000000000000E+00
            6.737500  0.765825826840E-04  0.000000000000E+00  0.000000000000E+00
            6.812500  0.268039039394E-03  0.000000000000E+00  0.000000000000E+00
            6.887500  0.114873874026E-03  0.000000000000E+00  0.000000000000E+00
            6.962500  0.459495496104E-03  0.191456456710E-04  0.000000000000E+00
            7.037500  0.114873874026E-03  0.000000000000E+00  0.000000000000E+00
            7.112500  0.918990992208E-03  0.000000000000E+00  0.000000000000E+00
            7.187500  0.122532132294E-02  0.000000000000E+00  0.000000000000E+00
            7.262500  0.245064264589E-02  0.000000000000E+00  0.000000000000E+00
            7.337500  0.436520721299E-02  0.000000000000E+00  0.000000000000E+00
            7.412500  0.106066877017E-01  0.000000000000E+00  0.000000000000E+00
            7.487500  0.970109866150E-01  0.505445045715E-02  0.191456456710E-04
            7.562500  0.784588559598E-01  0.409716817359E-02  0.114873874026E-03
